Common Name	PubChem CID	PubChem AID	SMILES String	ChemDraw File Name	Molecular Weight	Kd	Kd STD	Unit	Protein	DOI
(2~{S},3~{R},4~{S},5~{R},6~{R})-2-(3-Chlorophenyl)sulfanyl-6-(hydroxymethyl)-4-[4-[3,4,5-tris(fluoranyl)phenyl]-1,2,3-triazol-1-yl]oxane-3,5-diol	134812702		C1=CC(=CC(=C1)Cl)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O	134812702	487.9	1.6	0.078	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
(2R,3R,4S,5R,6R)-2-(Hydroxymethyl)-6-(4-methylphenyl)sulfanyl-4-[4-(3,4,5-trifluorophenyl)triazol-1-yl]oxane-3,5-diol	122443477		CC1=CC=C(C=C1)S[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O	122443477	467.5	0.33	0.033	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
(2R,3R,4S,5R,6R)-2-Ethylsulfanyl-6-(hydroxymethyl)-4-[4-(3,4,5-trifluorophenyl)triazol-1-yl]oxane-3,5-diol	122443514		CCS[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)N2C=C(N=N2)C3=CC(=C(C(=C3)F)F)F)O	122443514	405.4	1	0.087	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
(2~{R},3~{R},4~{S},5~{R},6~{R})-2-(3-Chlorophenyl)sulfanyl-6-(hydroxymethyl)-4-[4-[3,4,5-tris(fluoranyl)phenyl]-1,2,3-triazol-1-yl]oxane-3,5-diol	122443461		C1=CC(=CC(=C1)Cl)S[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O	122443461	487.9	0.047	0.0027	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
(2R,3R,4S,5R,6R)-2-(4-Chlorophenyl)sulfanyl-6-(hydroxymethyl)-4-[4-(3,4,5-trifluorophenyl)triazol-1-yl]oxane-3,5-diol	122443407		C1=CC(=CC=C1S[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O)Cl	122443407	487.9	0.38	0.022	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
(2~{R},3~{R},4~{S},5~{R},6~{R})-2-(Hydroxymethyl)-6-phenylsulfanyl-4-[4-[3,4,5-tris(fluoranyl)phenyl]-1,2,3-triazol-1-yl]oxane-3,5-diol	122443516		C1=CC=C(C=C1)S[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O	122443516	453.4	0.52	0.038	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
(2~{R},3~{R},4~{S},5~{R},6~{R})-2-(3-Bromophenyl)sulfanyl-6-(hydroxymethyl)-4-[4-[3,4,5-tris(fluoranyl)phenyl]-1,2,3-triazol-1-yl]oxane-3,5-diol	132188488		C1=CC(=CC(=C1)Br)S[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O	132188488	532.3	0.031	0.0024	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
(2~{R},3~{R},4~{S},5~{R},6~{R})-2-(Hydroxymethyl)-6-(3-iodanylphenyl)sulfanyl-4-[4-[3,4,5-tris(fluoranyl)phenyl]-1,2,3-triazol-1-yl]oxane-3,5-diol	122443434		C1=CC(=CC(=C1)I)S[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O	122443434	579.3	0.058	0.0043	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
3,4-Dichlorophenyl 3-deoxy-3-[4(3,4,5-trifluorophenyl)-1H-1,2,3-triazol-1-yl]-1-thio-alpha-D-galactopyranoside	122443390		C1=CC(=C(C=C1S[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O)Cl)Cl	122443390	522.3	0.037	0.001	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
2-Chloro-4-[(2R,3R,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[4-(3,4,5-trifluorophenyl)triazol-1-yl]oxan-2-yl]sulfanylbenzonitrile	122443352		C1=CC(=C(C=C1S[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O)Cl)C#N	122443352	512.9	0.047	0.0063	μM	Galectin-3	https://doi.org/10.1002/cmdc.201700744
